total_income,total_expenses,income_source,food,hospitality,alcohol,tobacco,clothing,public_utilities,medical,transport,communication,education,others,special,gardening,saving,min_invest
152913,132186,Wage/Salaries,59310,0,1645,3620,2830,16500,100,3600,540,0,4206,1200,38635,23979,2825
226761,176719,Wage/Salaries,104427,9267,0,0,3125,24060,1470,15600,1800,0,13470,3500,0,50198,6134
264520,174070,Wage/Salaries,108109,700,4615,5792,3380,22674,120,5598,1680,0,18702,2700,0,95101,13096
241065,205752,Wage/Salaries,96505,6285,1105,2534,1750,31794,150,9660,3060,550,23454,2000,26905,36615,4237
239836,173788,Other sources of Income,90669,5980,2145,2265,3170,29148,0,4320,3240,300,8856,2900,20795,72222,9583
148088,114380,Wage/Salaries,78662,4120,2350,416,2970,14832,50,3720,1320,500,4440,1000,0,43747,5964
175305,156378,Wage/Salaries,84355,900,1170,4706,3150,27552,0,5340,1980,0,10140,1500,15585,20461,2303
144206,124296,Other sources of Income,72478,900,1105,6335,1650,27798,0,3540,1680,0,5310,1800,1700,22275,2608
84369,80340,Wage/Salaries,49085,0,510,2730,1570,17352,145,1380,1080,0,4788,1700,0,5234,563
121743,114181,Enterpreneurial Activities,72244,2825,585,5544,2895,16860,198,4200,600,150,7080,1000,0,8475,913
372972,297406,Wage/Salaries,164802,4230,4082,728,23220,40614,4090,12690,6000,3850,23100,10000,0,79206,9680
300324,118740,Other sources of Income,79540,0,0,0,1450,20766,380,480,0,0,14124,2000,0,211170,38046
138688,118601,Other sources of Income,62562,0,0,0,1750,20700,10583,1680,0,0,16326,5000,0,24078,2895
379622,198667,Wage/Salaries,89011,3500,0,1685,3770,36948,950,3060,1800,18000,29328,1000,9615,198084,31038
174440,143354,Wage/Salaries,92792,0,1410,1040,2290,9918,204,1500,1380,0,5370,0,27450,36944,4601
223295,163761,Other sources of Income,92989,6090,0,0,3690,27660,14900,3600,1500,6900,3432,3000,0,65508,8648
391100,169396,Other sources of Income,115092,3600,0,1810,1980,30300,3600,5400,2520,0,5094,0,0,280579,52411
160114,117834,Wage/Salaries,81805,3420,546,0,2655,11700,1100,3660,870,1500,9078,1500,0,47240,6264
145410,138879,Other sources of Income,80552,3355,468,0,4025,14322,257,3594,1800,300,7056,1000,22150,7766,825
149410,143828,Enterpreneurial Activities,108269,11495,0,0,1450,10410,4110,4500,300,0,3294,0,0,6514,684
280120,191941,Enterpreneurial Activities,125385,23725,0,0,1660,21900,1729,3000,480,10000,4062,0,0,98145,13602
298126,99903,Enterpreneurial Activities,60346,0,0,0,3775,23100,4000,3300,900,0,4482,0,0,214922,38190
485633,284838,Wage/Salaries,138744,14130,60,0,14972,31242,496,16308,5400,22050,38436,3000,0,238587,37437
136934,116662,Enterpreneurial Activities,86715,8605,0,160,1430,10620,150,1440,510,300,5232,1500,0,23513,2811
50561,30138,Other sources of Income,21156,0,0,0,400,7200,50,300,0,0,1032,0,0,22095,3248
109428,104967,Other sources of Income,54897,0,0,780,1280,8400,100,1140,582,0,3240,1000,33548,4736,495
128110,116179,Other sources of Income,66834,1865,1820,780,3770,12990,470,2028,744,300,4008,1500,19070,14094,1588
146650,144172,Wage/Salaries,77453,3245,4222,1170,5559,19260,245,6150,1608,260,6870,1200,16930,3040,311
293200,261002,Other sources of Income,116176,11890,1140,390,13605,46020,725,55008,3972,4500,5076,2500,0,33735,3779
179704,124794,Other sources of Income,78527,1695,4264,780,3706,17034,120,1920,1080,150,3588,1000,10930,68388,9954
152620,121782,Wage/Salaries,67808,5250,1040,5950,1200,13794,100,1320,1080,150,3900,1000,19190,35984,4568
105440,73068,Other sources of Income,51361,1695,0,0,2120,9282,0,720,0,360,3030,1500,3000,35455,4841
130495,118979,Wage/Salaries,71274,0,239,0,2920,18126,120,2340,1500,0,4080,1500,16880,12579,1389
77635,56854,Other sources of Income,39704,0,0,0,560,11250,680,1440,0,0,2220,1000,0,25476,3538
111570,81213,Wage/Salaries,58107,0,480,0,2350,13194,730,1080,582,0,3690,1000,0,38154,5387
121160,118799,Wage/Salaries,78639,1130,0,0,2120,25518,776,3660,660,50,4746,1500,0,2657,272
379828,166144,Wage/Salaries,92768,7380,1500,910,5049,16950,1025,6480,2100,500,31482,0,0,230151,37959
146920,98505,Other sources of Income,71753,4450,1920,0,1770,13074,0,1560,600,0,3378,0,0,48977,6549
214700,133862,Wage/Salaries,69690,10380,720,420,2660,27654,50,4992,1500,7900,7896,0,0,82443,11472
239598,145895,Enterpreneurial Activities,75131,12900,126,0,1590,31536,1224,5370,1080,9000,7938,0,0,113336,17623
69635,28593,Other sources of Income,17781,0,0,0,180,9300,300,360,0,0,672,0,0,41934,6772
116360,72629,Other sources of Income,31647,0,0,0,280,13260,150,720,60,0,1512,25000,0,44960,6281
181498,90746,Other sources of Income,61150,4120,480,0,2600,12672,60,2880,660,750,4374,1000,0,91231,13733
148690,118266,Enterpreneurial Activities,76530,4120,216,0,2670,18144,50,6000,1560,600,4476,1000,2900,34569,4357
129800,74198,Enterpreneurial Activities,51564,2260,240,0,1350,12738,0,1800,0,150,3096,1000,0,69572,11435
163400,131131,Wage/Salaries,88741,8970,1040,0,3460,19008,150,1200,840,950,5772,1000,0,38403,4887
259780,192897,Other sources of Income,115255,21000,1040,0,4540,27672,380,7920,1560,830,9300,1500,1900,67683,8553
301873,156767,Wage/Salaries,48761,1330,1584,760,6255,39198,6075,3900,840,150,4014,6000,37900,171241,28320
183630,153053,Other sources of Income,77020,0,1900,910,2045,24264,3600,2700,1380,350,6234,0,32650,35782,4377
65490,40056,Wage/Salaries,24028,0,0,0,260,9120,900,2760,600,0,2388,0,0,32066,5101
164315,160066,Other sources of Income,63163,0,2080,760,2090,16284,50,2760,660,3991,4158,2700,61370,4540,467
491010,342358,Enterpreneurial Activities,87892,1000,2650,4790,16143,15780,5500,22494,1140,2360,14574,113000,55035,173240,24304
329067,187790,Other sources of Income,71267,0,1820,0,4560,16050,1930,12540,900,4800,5706,6000,62217,172882,28031
164046,106931,Other sources of Income,41911,0,0,0,2590,10086,5244,9540,1170,0,3990,0,32400,68863,10270
312610,170128,Wage/Salaries,61587,0,1980,7298,5375,16668,100,6600,840,0,15480,1500,52700,166514,26801
541874,166934,Wage/Salaries,72496,1000,1300,0,7660,19578,4850,8616,2400,0,47034,2000,0,421818,78667
163530,142048,Wage/Salaries,66330,0,720,2395,5925,11610,50,5892,840,300,3786,0,44200,22871,2626
162480,139640,Other sources of Income,50381,2200,1660,0,4635,15492,4168,7098,3240,150,3216,0,47400,23330,2675
151395,147860,Wage/Salaries,59989,0,1660,370,3595,14988,850,6738,540,4000,9300,4000,41830,4059,418
1051758,574055,Wage/Salaries,238375,33090,540,3982,19720,67740,28910,36960,10920,1400,66348,9000,57070,478178,69580
383617,333376,Wage/Salaries,124651,36890,1650,0,12901,32508,2800,21420,3360,32350,36408,6500,21938,56413,6562
184738,146657,Enterpreneurial Activities,67950,1600,0,0,4079,33630,21720,3840,780,0,10758,2300,0,39009,4744
41138,31729,Other sources of Income,22189,0,0,0,1220,7302,130,360,0,0,528,0,0,10642,1371
242970,204090,Wage/Salaries,105256,5520,246,9050,8270,19188,240,17160,1620,410,7860,2500,26770,44712,5401
133045,127544,Wage/Salaries,91993,3720,1310,2964,4760,12552,510,1260,0,239,5736,2500,0,5592,583
248250,228962,Other sources of Income,104484,12690,3660,0,8970,63960,295,4176,3480,15185,5562,6500,0,22617,2498
173621,126804,Wage/Salaries,62063,1130,0,0,1480,12498,150,1200,960,100,8328,500,38395,59130,8346
74843,56186,Wage/Salaries,36052,0,270,0,510,8874,158,540,0,0,2982,0,6800,23731,3286
180521,128733,Other sources of Income,71774,4850,3390,0,2630,21558,47,8436,3000,1300,3738,4000,4010,52632,6822
211154,153889,Other sources of Income,93387,1800,2665,9455,3980,22200,110,2460,3060,0,6972,7800,0,71298,10011
269702,219382,Other sources of Income,27529,0,0,0,280,26496,83,300,120,0,164574,0,0,52664,6341
222351,178572,Enterpreneurial Activities,103206,6640,270,0,2970,26448,120,1704,3600,600,9204,1500,22310,47220,5798
135602,78315,Enterpreneurial Activities,47693,0,540,0,950,21480,220,1380,1440,0,3612,1000,0,62779,9439
295225,224055,Enterpreneurial Activities,112200,17520,1310,0,5755,38310,13712,6840,6120,2600,14688,5000,0,89156,12151
419138,167719,Wage/Salaries,65512,6310,2080,0,2165,64680,1300,1200,1800,320,7512,3700,11140,271933,46167
357946,194306,Other sources of Income,104620,1800,988,4400,5940,37836,222,4098,3600,0,8682,7500,14620,199210,32987
533840,255287,Wage/Salaries,111206,23400,0,0,7610,55440,7197,13560,4200,0,22374,10000,300,323592,54704
140329,134549,Other sources of Income,60553,300,0,0,1490,25170,1300,9600,900,0,3336,1700,30200,7015,743
144398,143108,Other sources of Income,83332,4380,720,1560,5380,13596,9310,8808,1380,1150,6642,5000,1850,1443,146
438261,262267,Other sources of Income,100370,12645,0,0,12740,29292,640,9942,8694,600,10494,5000,71850,219877,35221
383498,227216,Wage/Salaries,77175,10380,0,0,7995,34446,1494,7062,3600,575,30114,10500,43875,183366,28399
275729,184780,Wage/Salaries,126018,6180,2132,0,14925,13800,221,10080,1200,350,5874,4000,0,104563,14938
213286,150404,Wage/Salaries,80490,0,210,1872,4360,18228,470,2040,1110,0,4614,5000,32010,75530,10676
95622,66046,Other sources of Income,47654,0,0,0,700,12210,60,1320,210,0,3042,0,850,32690,4493
115450,51418,Other sources of Income,32746,0,0,0,400,14100,1100,1200,90,0,1782,0,0,77417,13831
121453,99516,Wage/Salaries,58522,1660,715,0,1800,24810,290,3840,570,375,4434,0,2500,27897,3567
207425,189101,Other sources of Income,108722,10420,1388,620,1370,31140,0,2400,720,2700,6966,2000,20655,22139,2491
261545,140314,Enterpreneurial Activities,76109,4050,90,210,1710,32622,70,1680,900,0,3198,0,19675,151882,25788
135875,128674,Wage/Salaries,67890,1860,1320,0,1410,12360,1088,2400,510,870,3816,0,35150,7392,780
72695,52139,Enterpreneurial Activities,34311,0,0,0,260,12060,1680,1440,1050,0,1338,0,0,26006,3726
294886,170531,Other sources of Income,99592,2660,0,520,2435,42120,900,5136,900,2750,10698,0,2820,139734,21324
159545,53611,Wage/Salaries,30457,730,520,3750,1110,11490,332,1350,420,0,2352,0,1100,108309,18345
110775,70546,Enterpreneurial Activities,54801,0,270,0,960,9648,55,1680,300,0,2832,0,0,45342,6599
174155,100775,Wage/Salaries,53155,2025,420,0,770,21420,0,1140,252,370,2718,0,18505,91015,14780
349579,150439,Wage/Salaries,63465,1130,2535,234,2850,25782,0,3528,870,200,28320,0,21525,249577,46377
104895,78086,Other sources of Income,46226,2225,0,0,1250,18000,35,5040,660,600,4050,0,0,30351,4016
103545,103018,Other sources of Income,51053,0,0,0,3370,21492,1200,1440,0,0,4938,0,19525,684,69
208074,149542,Other sources of Income,89924,6640,0,0,1000,23640,920,9960,1140,1800,11418,3100,0,58573,7507
164464,133615,Wage/Salaries,74331,565,1180,0,2385,15600,100,2040,1260,350,7254,1500,27050,39880,5174
145666,107126,Wage/Salaries,79612,3320,0,0,1040,13080,130,3360,750,520,4614,700,0,48216,6738
183770,150936,Other sources of Income,83931,3000,1865,1986,4330,29736,3350,9528,1560,0,7650,4000,0,41927,5357
521338,272616,Other sources of Income,145444,8044,4368,1040,1940,54726,1560,29514,2040,650,19290,4000,0,289730,47354
162125,98178,Other sources of Income,42476,0,1104,520,460,46080,0,1080,1320,0,3138,2000,0,69325,10127
153195,87609,Other sources of Income,48842,0,270,0,430,21780,2925,3042,840,0,9480,0,0,72469,11001
193810,156229,Other sources of Income,90109,7770,1495,5068,2575,22920,50,8940,1020,3030,9252,4000,0,48331,6306
182344,88261,Wage/Salaries,64202,2850,1950,0,640,10800,75,2640,120,470,4014,500,0,110022,18602
336128,210500,Wage/Salaries,77820,12700,2900,12,920,35580,3600,11640,12300,0,53028,0,0,146484,21941
237680,138023,Other sources of Income,82489,8605,1938,270,2170,22998,5760,3840,1560,235,7158,1000,0,100250,14278
184632,178608,Wage/Salaries,87241,15880,0,0,4946,22740,398,17400,14880,475,9348,5300,0,7371,772
115317,105600,Other sources of Income,69449,780,0,0,2248,12468,3625,9780,816,0,5934,500,0,9931,1080
100004,91117,Enterpreneurial Activities,54876,4800,190,6240,1603,16446,253,1188,468,623,2430,2000,0,8953,976
821833,513577,Wage/Salaries,169516,24600,480,0,19449,73428,3340,35154,16260,64700,76650,30000,0,372215,56976
46160,41205,Wage/Salaries,26523,0,225,1142,860,4920,210,432,360,125,6408,0,0,6047,698
90330,79459,Wage/Salaries,39671,0,720,8507,900,7548,573,10560,1128,2990,5862,1000,0,13665,1615
34935,31543,Other sources of Income,15426,150,0,0,485,11298,416,2664,0,0,1104,0,0,3560,394
80651,69453,Wage/Salaries,38096,520,30,380,1060,6822,231,7560,540,3950,4764,5500,0,13318,1587
335426,218487,Wage/Salaries,87341,4200,2386,0,14024,26100,1100,44940,6840,9070,10686,11800,0,118329,16056
384167,344271,Wage/Salaries,88383,1950,0,0,10914,53700,2114,8850,7800,51200,27330,0,92030,41037,4554
122035,113102,Wage/Salaries,57017,1300,100,0,1811,22800,545,6540,960,0,4074,1000,16955,11212,1245
135150,126629,Wage/Salaries,54466,7800,7280,9955,4840,10050,2476,16902,2640,0,6720,3500,0,8563,911
79815,56577,Enterpreneurial Activities,23415,520,2600,7240,670,8220,40,10044,648,0,3180,0,0,29614,4297
127335,94965,Wage/Salaries,46409,0,0,0,3765,15030,716,11040,840,4045,10020,3100,0,36722,4857
172268,165244,Wage/Salaries,84121,3300,90,0,4699,25866,358,7080,840,30,11130,8000,19730,8133,857
259070,144741,Wage/Salaries,71421,7380,0,0,3340,24000,304,11970,600,11000,3726,11000,0,128573,19945
303605,140487,Enterpreneurial Activities,58580,1080,1476,1040,5090,10950,4255,6474,300,150,2766,0,48326,199234,35368
358410,244037,Wage/Salaries,72599,26440,690,0,9039,19260,117,5358,1080,67900,3744,10000,27810,138410,20114
95228,78309,Other sources of Income,46023,1800,2880,0,4146,14106,2088,1044,3192,0,3030,0,0,20864,2630
76920,71471,Wage/Salaries,36802,5760,36,0,1590,14676,427,4536,1560,0,6084,0,0,5678,611
133016,129017,Other sources of Income,50479,3390,480,0,7620,12300,3590,4140,360,0,2658,44000,0,5164,541
478701,365473,Other sources of Income,118660,26036,4080,7086,28060,57714,2848,18504,11394,49075,23016,19000,0,143056,19472
297366,269251,Enterpreneurial Activities,103494,39000,0,0,5599,30810,6372,55020,11892,0,17064,0,0,29541,3262
201271,183351,Other sources of Income,82453,1580,0,0,6909,42252,8111,10350,6300,0,22896,2500,0,21339,2396
879038,422663,Wage/Salaries,156084,48464,0,3620,16195,53106,4236,55620,21600,14350,33888,15500,0,484990,76836
397440,309109,Wage/Salaries,170599,30683,1130,4140,11688,38184,3325,20274,2100,400,23586,3000,0,91617,11349
718238,369893,Wage/Salaries,180371,30839,1656,1560,12065,38676,1452,30954,8616,11350,34854,17500,0,401073,65448
124140,115734,Other sources of Income,57186,2780,0,520,5035,36474,2747,6600,960,0,3432,0,0,8813,947
511900,372664,Wage/Salaries,166848,36850,0,0,20559,70392,5173,18810,18780,2570,29682,3000,0,141159,18061
1107119,451289,Wage/Salaries,122507,46996,2660,0,11886,65820,15052,17472,10200,73800,70896,14000,0,697626,116356
327272,303198,Wage/Salaries,116225,24496,0,0,8122,43074,29075,12372,4716,52000,11118,2000,0,26134,2839
242800,189196,Wage/Salaries,67405,14900,480,0,5625,40962,5482,16608,9960,11600,15174,1000,0,55028,6782
647108,446723,Wage/Salaries,162785,30118,600,0,16400,67740,4642,75564,14688,4650,37536,32000,0,253808,37431
352952,251619,Wage/Salaries,93499,20194,0,0,9862,61470,804,7776,6954,12200,25860,13000,0,104624,13661
212350,163655,Wage/Salaries,58678,7720,0,0,8427,38634,328,23352,2280,0,16236,8000,0,56180,7302
755000,451941,Enterpreneurial Activities,167138,25000,840,0,15816,123540,2561,48354,10404,7000,19788,31500,0,315054,45153
297180,278858,Wage/Salaries,129340,11578,5700,3620,6646,58134,3892,21822,4440,2050,18636,13000,0,21293,2303
243548,237393,Wage/Salaries,121377,16070,0,0,5039,32232,285,14760,2280,15400,24450,5500,0,7883,819
375770,359187,Other sources of Income,120955,28994,0,0,56566,35550,15720,10368,4080,69900,15054,2000,0,16596,1733
152834,141556,Wage/Salaries,94653,1645,2920,6136,3492,11328,6654,9318,360,610,4440,0,0,11496,1238
85409,78012,Wage/Salaries,43050,1946,938,3630,1240,14136,552,5040,1248,910,5322,0,0,9460,1074
67940,63772,Other sources of Income,32955,1290,0,0,1465,15528,1240,3522,960,460,4362,0,1990,4396,470
108468,104842,Wage/Salaries,75333,5340,390,0,3678,10836,505,900,960,1326,5574,0,0,4433,465
370960,223401,Other sources of Income,103719,30200,840,4525,4615,40308,1076,7548,6960,0,20610,3000,0,180626,28468
90946,79584,Wage/Salaries,52563,3740,0,0,1815,12336,2008,1092,0,490,3540,2000,0,12214,1397
172427,165695,Wage/Salaries,118463,3060,300,7240,1340,16044,740,3030,720,710,4728,8000,1320,7226,755
59415,57844,Wage/Salaries,35895,2990,0,0,449,11952,2524,1422,600,500,1512,0,0,1593,164
1570874,1240304,Wage/Salaries,220630,44000,0,0,112830,91866,40980,60750,50280,44772,60936,35000,478260,403547,52596
963550,310649,Other sources of Income,34879,2000,0,0,0,222258,10630,17202,7080,0,6600,10000,0,786710,153829
714506,644729,Wage/Salaries,144639,41600,0,0,24200,181926,83250,29796,14700,47000,75618,2000,0,71939,7940
681291,502084,Other sources of Income,110989,26200,0,0,6785,206778,6450,73002,9600,43600,9180,9500,0,190862,24760
1044680,783671,Wage/Salaries,170469,56000,0,0,42980,144480,8500,70098,17640,83400,47124,33000,109980,301815,40080
379500,360961,Other sources of Income,80405,30500,0,0,15100,170376,10100,15000,3480,0,24000,12000,0,20861,2214
342410,309567,Wage/Salaries,105485,3500,1170,0,20760,45600,30090,20898,12360,9850,30084,7000,22770,37898,4265
234774,205080,Other sources of Income,71125,8000,900,3120,4040,54816,19251,16398,4800,0,14130,8500,0,37310,4445
310538,288640,Wage/Salaries,95994,6400,480,1300,15760,53100,21770,12702,7800,12000,30834,30500,0,23123,2494
112260,88581,Wage/Salaries,49360,0,0,0,3535,13080,2790,6480,1980,0,8856,2500,0,27355,3492
241920,164395,Other sources of Income,56243,1500,1275,0,8905,43794,5392,21132,7680,1390,9084,8000,0,90161,12847
108593,108155,Wage/Salaries,55720,4900,720,5172,1215,10194,405,9264,1662,8145,10758,0,0,443,44
164268,157061,Wage/Salaries,86030,18800,0,8310,1545,17250,441,10518,1518,835,11814,0,0,7574,794
230644,190906,Wage/Salaries,77006,18200,23750,0,6564,17028,2380,22572,7200,0,16206,0,0,45690,5592
141098,125604,Wage/Salaries,69811,3400,95,0,350,34260,108,2904,900,4200,9576,0,0,18857,2183
67506,64275,Enterpreneurial Activities,39894,5250,360,3640,145,8208,76,1434,1224,800,2808,0,436,4054,435
93432,82364,Wage/Salaries,32139,6280,3092,8326,990,12456,225,12000,306,0,4050,2500,0,13413,1568
71980,70474,Wage/Salaries,14529,5980,4160,7695,5130,23148,298,5880,144,0,3510,0,0,1580,162
159600,157280,Wage/Salaries,95680,6800,0,260,1020,30270,590,8718,2700,2248,8994,0,0,2930,299
162948,153632,Enterpreneurial Activities,69812,3000,7410,21800,3660,15570,1945,10410,3192,4575,12258,0,0,10744,1155
76769,75888,Other sources of Income,35410,0,840,0,200,21276,6584,2184,1800,0,5394,2200,0,1078,110
139057,138889,Wage/Salaries,42834,8580,1920,0,800,31944,3654,8964,3792,19000,8496,2000,6905,217,22
350128,316955,Wage/Salaries,109248,1900,1860,6335,7853,41448,1463,1656,4680,750,24342,13000,102420,37945,4257
277911,274905,Wage/Salaries,139049,2560,3420,13575,4323,63348,3416,21240,2700,1310,14964,5000,0,3260,330
419430,412519,Wage/Salaries,175659,3340,6930,16833,18257,41400,102440,6306,4800,0,25068,11486,0,8187,837
148472,145189,Wage/Salaries,85140,3320,5330,4160,4089,18594,838,7296,1080,1158,14184,0,0,4129,427
136572,125387,Enterpreneurial Activities,52245,2290,1872,0,2431,35880,480,7170,900,574,10980,10565,0,13296,1480
116682,105835,Wage/Salaries,69185,2820,0,0,3605,13230,1579,7800,384,200,7032,0,0,11504,1270
109842,107267,Wage/Salaries,63182,8740,558,2172,4615,13488,698,624,1080,200,4320,7590,0,3313,344
189194,185399,Wage/Salaries,95113,3320,960,1300,7336,46110,1490,912,0,1140,14718,13000,0,4693,483
176698,153498,Wage/Salaries,72389,4060,2070,2811,4896,47040,1282,1890,2748,1500,10812,2000,0,27137,3191
371060,273145,Other sources of Income,67835,2840,1950,600,17680,44736,17884,23268,3960,0,7242,39620,45530,121688,16939
218540,151506,Other sources of Income,75920,14325,1080,4785,2220,24168,540,5376,1608,0,7824,13660,0,77676,10907
161963,141435,Wage/Salaries,79023,4980,1500,2028,4478,24420,3494,5208,2640,500,7164,6000,0,20735,2342
59839,53636,Wage/Salaries,35812,400,3150,2340,400,7122,428,1200,270,120,2394,0,0,6965,786
104633,99190,Enterpreneurial Activities,72262,4578,480,1040,1656,11796,406,1992,780,1200,3000,0,0,6770,729
116683,92348,Wage/Salaries,50153,7815,300,0,2935,10548,212,7278,720,1210,8322,0,2855,27453,3465
81452,80310,Other sources of Income,35564,1600,0,1280,900,23172,7590,3096,180,2500,2598,0,1830,1235,126
212760,161923,Other sources of Income,64805,5090,0,0,4580,21876,2338,3540,540,300,19584,2500,36770,55312,7086
314739,283717,Other sources of Income,161834,10440,3915,16290,4405,27768,4473,1380,4500,40000,8712,0,0,39863,4603
181293,109367,Other sources of Income,71960,2573,166,2730,960,13764,438,1800,276,3582,3558,7560,0,89117,14137
301538,183000,Enterpreneurial Activities,99617,32620,0,0,885,19224,168,2016,900,18350,3720,5500,0,119338,16688
206211,202831,Wage/Salaries,122827,7210,5488,12324,2586,27618,971,5472,5520,815,9000,3000,0,3825,390
134277,104438,Wage/Salaries,58216,7160,0,1448,3685,19224,782,4740,1002,1025,6156,1000,0,36585,4839
129257,123198,Wage/Salaries,69469,3510,2040,3212,4155,24450,356,2454,720,1700,9132,2000,0,6629,700
209483,204501,Wage/Salaries,135702,10880,0,0,4806,24474,1607,16134,1800,1310,7788,0,0,5343,549
112990,103456,Other sources of Income,46873,260,0,0,1194,26856,4789,6156,2160,0,12168,3000,0,9983,1090
29358,28626,Other sources of Income,13848,640,0,1810,0,11058,118,768,0,0,384,0,0,825,85
335167,326767,Wage/Salaries,140208,11490,100,1810,9268,39858,2301,13710,2520,1600,25902,4000,74000,8806,905
540882,468430,Wage/Salaries,231330,14350,9094,0,16305,73620,5681,17904,15780,48700,27666,8000,0,92238,11134
224252,205167,Wage/Salaries,43190,1620,1128,0,0,97704,7219,5622,7848,0,40836,0,0,22929,2567
453130,324481,Wage/Salaries,83440,9000,1100,0,23440,47700,21297,78114,12582,0,47808,0,0,135499,17807
150310,150299,Wage/Salaries,72682,3200,570,0,3213,39786,200,8964,7200,1920,12564,0,0,11,1
97615,86353,Other sources of Income,34253,120,960,312,1590,38796,1412,4428,1200,0,3282,0,0,11654,1309
173848,146667,Wage/Salaries,67835,1750,1470,4160,3450,32088,13207,8904,1248,1025,9030,2500,0,29369,3470
214630,174398,Wage/Salaries,96846,9150,1920,4726,3162,30612,5580,2832,1866,550,9354,7800,0,49030,6224
146110,108699,Wage/Salaries,64062,320,270,5430,3580,18876,363,6720,1128,0,7950,0,0,43804,5885
146020,111374,Other sources of Income,35728,1620,0,0,1170,25068,30604,582,1128,0,15474,0,0,41761,5574
194644,172127,Wage/Salaries,101943,5160,1194,0,10150,15336,100,7830,4356,13390,7668,5000,0,23337,2623
462847,414365,Wage/Salaries,169033,16360,0,0,13472,60240,3430,31518,21720,42000,23592,33000,0,59292,6827
263158,163030,Other sources of Income,46219,1540,0,0,5445,28704,1400,15828,2160,4000,21234,36500,0,113332,16783
